Symbol,Series,ISIN,AlphavantageSymbol
20MICRONS,EQ,INE144J01027,NSE:20MICRONS
3IINFOTECH,EQ,INE748C01020,NSE:3IINFOTECH
3MINDIA,EQ,INE470A01017,NSE:3MINDIA
63MOONS,EQ,INE111B01023,NSE:63MOONS
ASIANPAINT,EQ,INE021A01026,NSE:ASIANPAINT
BHARTIARTL,EQ,INE397D01024,NSE:BHARTIARTL
BHEL,EQ,INE257A01026,NSE:BHEL
BLUEDART,EQ,INE233B01017,NSE:BLUEDART
BRITANNIA,EQ,INE216A01022,NSE:BRITANNIA
CALSOFT,EQ,INE526B01014,NSE:CALSOFT
CIPLA,EQ,INE059A01026,NSE:CIPLA
VARDMNPOLY,EQ,INE835A01011,NSE:VARDMNPOLY
MARICO,EQ,INEOASKASJ999,NSE:MARICO